Date/Time,Open,Close,High,Low,Volume,WAP,Count
2016-02-05 19:56:10,49.75,49.75,49.76,49.74,131,49.75,70
2016-02-05 19:56:15,49.75,49.75,49.76,49.74,229,49.75,136
2016-02-05 19:56:20,49.76,49.78,49.78,49.75,284,49.77,137
2016-02-05 19:56:25,49.79,49.79,49.79,49.78,6,49.79,3
2016-02-05 19:56:30,49.78,49.79,49.79,49.78,15,49.78,11
2016-02-05 19:56:35,49.78,49.79,49.79,49.78,114,49.79,98
2016-02-05 19:56:40,49.79,49.78,49.79,49.78,91,49.79,52
2016-02-05 19:56:45,49.79,49.77,49.79,49.77,88,49.78,51
2016-02-05 19:56:50,49.78,49.78,49.79,49.77,323,49.78,131
2016-02-05 19:56:55,49.78,49.78,49.79,49.77,30,49.78,24
2016-02-05 19:57:00,49.77,49.77,49.77,49.76,88,49.77,30
2016-02-05 19:57:05,49.76,49.78,49.78,49.76,118,49.77,62
2016-02-05 19:57:10,49.78,49.78,49.78,49.77,21,49.78,20
2016-02-05 19:57:15,49.78,49.8,49.8,49.77,96,49.79,72
2016-02-05 19:57:20,49.8,49.79,49.8,49.79,103,49.79,37
2016-02-05 19:57:25,49.8,49.8,49.81,49.79,220,49.8,121
2016-02-05 19:57:30,49.8,49.79,49.8,49.79,98,49.8,48
2016-02-05 19:57:35,49.79,49.76,49.8,49.76,374,49.78,234
2016-02-05 19:57:40,49.77,49.76,49.77,49.76,45,49.76,30
2016-02-05 19:57:45,49.76,49.76,49.76,49.75,50,49.76,36
2016-02-05 19:57:50,49.76,49.75,49.76,49.75,85,49.76,33
2016-02-05 19:57:55,49.75,49.73,49.76,49.72,176,49.74,85
2016-02-05 19:58:00,49.72,49.73,49.74,49.72,81,49.73,64
2016-02-05 19:58:05,49.73,49.73,49.74,49.73,20,49.73,18
2016-02-05 19:58:10,49.73,49.73,49.74,49.73,25,49.73,22
2016-02-05 19:58:15,49.73,49.71,49.73,49.7,205,49.72,89
2016-02-05 19:58:20,49.71,49.71,49.72,49.7,79,49.71,47
2016-02-05 19:58:25,49.72,49.71,49.72,49.7,59,49.71,42
2016-02-05 19:58:30,49.72,49.71,49.72,49.71,16,49.71,12
2016-02-05 19:58:35,49.71,49.7,49.72,49.7,45,49.71,31
2016-02-05 19:58:40,49.71,49.69,49.71,49.69,139,49.7,81
2016-02-05 19:58:45,49.69,49.69,49.7,49.68,322,49.69,148
2016-02-05 19:58:50,49.69,49.69,49.7,49.68,173,49.69,98
2016-02-05 19:58:55,49.7,49.71,49.71,49.69,264,49.7,132
2016-02-05 19:59:00,49.71,49.71,49.71,49.7,98,49.71,68
2016-02-05 19:59:05,49.7,49.7,49.71,49.69,118,49.7,64
2016-02-05 19:59:10,49.7,49.69,49.7,49.69,8,49.69,8
2016-02-05 19:59:15,49.69,49.7,49.7,49.68,399,49.69,144
2016-02-05 19:59:20,49.69,49.67,49.7,49.67,515,49.69,230
2016-02-05 19:59:25,49.67,49.67,49.68,49.66,346,49.67,197
2016-02-05 19:59:30,49.66,49.69,49.69,49.66,243,49.67,129
2016-02-05 19:59:35,49.69,49.69,49.71,49.68,599,49.69,238
2016-02-05 19:59:40,49.69,49.7,49.7,49.68,168,49.69,99
2016-02-05 19:59:45,49.71,49.7,49.71,49.69,65,49.7,42
2016-02-05 19:59:50,49.69,49.7,49.7,49.69,360,49.69,89
2016-02-05 19:59:55,49.7,49.73,49.73,49.69,644,49.7,138
2016-02-05 20:00:00,49.73,49.73,49.74,49.69,828,49.72,367
2016-02-05 20:00:05,49.72,49.69,49.72,49.69,753,49.7,287
2016-02-05 20:00:10,49.7,49.69,49.7,49.68,350,49.69,184
2016-02-05 20:00:15,49.69,49.68,49.7,49.68,110,49.69,28
2016-02-05 20:00:20,49.68,49.69,49.7,49.68,240,49.69,141
2016-02-05 20:00:25,49.69,49.69,49.7,49.68,128,49.69,48
2016-02-05 20:00:30,49.69,49.7,49.7,49.68,700,49.7,325
2016-02-05 20:00:35,49.7,49.72,49.73,49.69,916,49.7,338
2016-02-05 20:00:40,49.7,49.7,49.72,49.69,377,49.7,149
2016-02-05 20:00:45,49.69,49.7,49.7,49.69,12,49.69,11
2016-02-05 20:00:50,49.69,49.68,49.69,49.68,319,49.69,133
2016-02-05 20:00:55,49.68,49.69,49.69,49.68,9,49.68,8
2016-02-05 20:01:00,49.69,49.68,49.69,49.68,61,49.68,10
2016-02-05 20:01:05,49.69,49.68,49.69,49.68,414,49.68,163
2016-02-05 20:01:10,49.68,49.66,49.7,49.66,545,49.68,300
2016-02-05 20:01:15,49.66,49.67,49.69,49.66,87,49.67,53
2016-02-05 20:01:20,49.66,49.66,49.67,49.66,58,49.67,35
2016-02-05 20:01:25,49.67,49.66,49.67,49.66,67,49.67,56
2016-02-05 20:01:30,49.67,49.69,49.69,49.66,197,49.67,104
2016-02-05 20:01:35,49.69,49.69,49.69,49.67,165,49.68,97
2016-02-05 20:01:40,49.69,49.75,49.75,49.68,183,49.72,122
2016-02-05 20:01:45,49.76,49.76,49.76,49.75,68,49.76,30
2016-02-05 20:01:50,49.76,49.69,49.76,49.68,1604,49.71,761
2016-02-05 20:01:55,49.69,49.67,49.69,49.67,316,49.68,137
2016-02-05 20:02:00,49.66,49.66,49.67,49.66,22,49.67,3
2016-02-05 20:02:05,49.67,49.64,49.68,49.63,657,49.66,319
2016-02-05 20:02:10,49.64,49.65,49.65,49.63,284,49.64,186
2016-02-05 20:02:15,49.65,49.65,49.66,49.63,108,49.65,55
2016-02-05 20:02:20,49.65,49.65,49.65,49.64,383,49.65,190
2016-02-05 20:02:25,49.64,49.65,49.65,49.64,196,49.64,122
2016-02-05 20:02:30,49.65,49.64,49.65,49.64,215,49.65,147
2016-02-05 20:02:35,49.65,49.64,49.65,49.64,40,49.65,30
2016-02-05 20:02:40,49.65,49.65,49.65,49.64,60,49.64,30
2016-02-05 20:02:45,49.64,49.64,49.65,49.64,97,49.64,58
2016-02-05 20:02:50,49.63,49.64,49.65,49.63,182,49.63,108
2016-02-05 20:02:55,49.63,49.64,49.64,49.63,30,49.64,9
2016-02-05 20:03:00,49.64,49.65,49.65,49.63,194,49.64,125
2016-02-05 20:03:05,49.65,49.65,49.65,49.64,10,49.65,7
2016-02-05 20:03:10,49.65,49.65,49.65,49.64,33,49.65,24
2016-02-05 20:03:15,49.65,49.65,49.66,49.64,924,49.65,366
2016-02-05 20:03:20,49.66,49.65,49.66,49.64,207,49.65,78
2016-02-05 20:03:25,49.65,49.65,49.65,49.64,11,49.65,4
2016-02-05 20:03:30,49.65,49.65,49.66,49.64,316,49.65,116
2016-02-05 20:03:35,49.65,49.65,49.65,49.64,5,49.65,5
2016-02-05 20:03:40,49.65,49.64,49.65,49.63,162,49.64,102
2016-02-05 20:03:45,49.64,49.62,49.64,49.61,143,49.62,67
2016-02-05 20:03:50,49.62,49.61,49.62,49.61,49,49.61,37
2016-02-05 20:03:55,49.61,49.59,49.62,49.58,776,49.59,364
2016-02-05 20:04:00,49.59,49.61,49.61,49.58,180,49.6,89
2016-02-05 20:04:05,49.6,49.6,49.62,49.59,285,49.6,157
2016-02-05 20:04:10,49.6,49.6,49.61,49.59,310,49.59,154
2016-02-05 20:04:15,49.59,49.58,49.6,49.57,277,49.58,177
2016-02-05 20:04:20,49.58,49.59,49.59,49.58,63,49.58,50
2016-02-05 20:04:25,49.59,49.58,49.59,49.56,429,49.57,171
2016-02-05 20:04:30,49.57,49.58,49.59,49.57,265,49.58,184
2016-02-05 20:04:35,49.58,49.59,49.6,49.57,116,49.59,76
2016-02-05 20:04:40,49.58,49.6,49.6,49.58,162,49.59,81
2016-02-05 20:04:45,49.59,49.61,49.61,49.59,37,49.6,29
2016-02-05 20:04:50,49.61,49.62,49.63,49.6,169,49.62,88
2016-02-05 20:04:55,49.62,49.63,49.63,49.61,116,49.62,69
2016-02-05 20:05:00,49.63,49.65,49.65,49.62,117,49.63,69
2016-02-05 20:05:05,49.65,49.61,49.65,49.61,588,49.63,343
2016-02-05 20:05:10,49.62,49.62,49.62,49.61,17,49.62,6
2016-02-05 20:05:15,49.62,49.63,49.63,49.61,248,49.62,159
2016-02-05 20:05:20,49.62,49.63,49.63,49.62,7,49.62,5
2016-02-05 20:05:25,49.63,49.63,49.63,49.62,121,49.63,66
2016-02-05 20:05:30,49.64,49.65,49.65,49.63,87,49.64,58
2016-02-05 20:05:35,49.65,49.65,49.65,49.64,23,49.65,19
2016-02-05 20:05:40,49.64,49.65,49.65,49.63,296,49.64,180
2016-02-05 20:05:45,49.64,49.65,49.65,49.64,76,49.64,22
2016-02-05 20:05:50,49.65,49.65,49.65,49.64,41,49.64,34
2016-02-05 20:05:55,49.65,49.64,49.65,49.63,156,49.64,96
2016-02-05 20:06:00,49.63,49.64,49.64,49.63,94,49.64,52
2016-02-05 20:06:05,49.65,49.65,49.65,49.64,662,49.65,315
2016-02-05 20:06:10,49.64,49.64,49.65,49.64,71,49.64,50
2016-02-05 20:06:15,49.65,49.65,49.65,49.64,347,49.65,194
2016-02-05 20:06:20,49.65,49.65,49.65,49.64,69,49.65,28
2016-02-05 20:06:25,49.65,49.65,49.65,49.64,16,49.65,15
2016-02-05 20:06:30,49.65,49.61,49.65,49.61,353,49.63,197
2016-02-05 20:06:35,49.62,49.62,49.63,49.61,302,49.62,189
2016-02-05 20:06:40,49.61,49.61,49.62,49.61,34,49.62,22
2016-02-05 20:06:45,49.62,49.62,49.62,49.61,28,49.61,15
2016-02-05 20:06:50,49.62,49.61,49.62,49.6,66,49.61,44
2016-02-05 20:06:55,49.61,49.62,49.62,49.6,252,49.62,139
2016-02-05 20:07:00,49.62,49.65,49.65,49.61,296,49.63,189
2016-02-05 20:07:05,49.65,49.65,49.65,49.64,585,49.65,235
2016-02-05 20:07:10,49.65,49.65,49.65,49.64,82,49.65,64
2016-02-05 20:07:15,49.65,49.65,49.65,49.64,341,49.65,192
2016-02-05 20:07:20,49.65,49.64,49.65,49.62,1212,49.63,496
2016-02-05 20:07:25,49.64,49.63,49.64,49.62,314,49.63,155
2016-02-05 20:07:30,49.63,49.63,49.64,49.62,363,49.63,180
2016-02-05 20:07:35,49.63,49.62,49.63,49.62,24,49.63,19
2016-02-05 20:07:40,49.62,49.62,49.63,49.61,193,49.62,54
2016-02-05 20:07:45,49.61,49.58,49.61,49.57,178,49.59,122
2016-02-05 20:07:50,49.58,49.59,49.59,49.58,54,49.58,31
2016-02-05 20:07:55,49.59,49.58,49.59,49.58,65,49.59,30
2016-02-05 20:08:00,49.59,49.58,49.59,49.57,200,49.58,123
2016-02-05 20:08:05,49.58,49.59,49.59,49.57,320,49.58,203
2016-02-05 20:08:10,49.59,49.61,49.61,49.58,81,49.6,63
2016-02-05 20:08:15,49.61,49.63,49.63,49.6,66,49.62,45
2016-02-05 20:08:20,49.63,49.63,49.63,49.62,25,49.63,19
